Python编程 ; type ; 课程
变量和基本数据类型 ; type ; 章节
if语句 ; type ; 章节
输入和while循环 ; type ; 章节
测试代码 ; type ; 章节
文件和异常 ; type ; 章节
字典简介 ; type ; 章节
列表简介 ; type ; 章节
条件测试 ; type ; 知识点
测试函数 ; type ; 知识点
数字 ; type ; 知识点
字典 ; type ; 知识点
基本数据类型 ; type ; 知识点
while语句 ; type ; 知识点
变量 ; type ; 知识点
单元测试 ; type ; 知识点
列表 ; type ; 知识点
输入 ; type ; 知识点
语法错误 ; type ; 知识点
索引错误 ; type ; 知识点
类型错误 ; type ; 知识点
简单的if结构 ; type ; 知识点
空白 ; type ; 知识点
相等运算符 ; type ; 知识点
浮点数 ; type ; 知识点
测试类 ; type ; 知识点
测试用例 ; type ; 知识点
注释 ; type ; 知识点
求模运算符 ; type ; 知识点
比较数字 ; type ; 知识点
检查特定值是否包含在列表中 ; type ; 知识点
检查特定值是否不包含在列表中 ; type ; 知识点
检查是否相等 ; type ; 知识点
检查是否不相等 ; type ; 知识点
检查多个条件 ; type ; 知识点
方法 ; type ; 知识点
文件 ; type ; 知识点
整数 ; type ; 知识点
异常 ; type ; 知识点
布尔表达式 ; type ; 知识点
嵌套 ; type ; 知识点
字符串 ; type ; 知识点
字典嵌套 ; type ; 知识点
字典列表 ; type ; 知识点
列表字典 ; type ; 知识点
全覆盖测试 ; type ; 知识点
不相等运算符 ; type ; 知识点
if-else结构 ; type ; 知识点
if-elif-else结构 ; type ; 知识点
continue语句 ; type ; 知识点
break语句 ; type ; 知识点
知识点 ; subClassOf ; 章节
章节 ; subClassOf ; 课程
条件测试 ; 属于 ; if语句
变量和基本数据类型 ; 属于 ; Python编程
if语句 ; 属于 ; Python编程
if语句 ; 前驱 ; 变量和基本数据类型
测试函数 ; 属于 ; 测试代码
数字 ; 属于 ; 基本数据类型
数字 ; 基本用法 ; 方法str()可以将非字符串值表示为字符串
字典 ; 访问 ; 要获取与键相关联的值，可依次指定字典名和放在方括号内的键
字典 ; 添加 ; 要添加键—值对，可依次指定字典名、用方括号括起的键和相关联的值
字典 ; 属于 ; 字典简介
字典 ; 定义 ; 一系列键—值对的集合，每个键都与一个值相关联
字典 ; 删除 ; 可使用del 语句将相应的键—值对彻底删除。使用del 语句时，必须指定字典名和要删除的键
字典 ; 修改 ; 要修改字典中的值，可依次指定字典名、用方括号括起的键以及与该键相关联的新值
输入和while循环 ; 属于 ; Python编程
